item_number,item_description,category,state_bottle_cost,state_bottle_retail,bottle_volume_ml
72434,Big Peach Liqueur,1081000,9.09,13.64,375
902256,SOOH Mellow Corn Whiskey,1901200,7.92,11.88,750
17658,Double Barrel Bourbon,1700000,15.0,22.5,375
27066,Old Overholt Rye,1011600,11.54,17.31,750
27189,Basil Hayden Dark Rye,1011600,23.62,35.43,750
984160,99 Apples Mini,1901200,5.95,8.93,600
974831,Special Order Iowa Legendary Rye Red Label,1091100,24.5,36.75,750
43112,Bacardi Black,1062300,15.0,22.5,1750
41848,Everclear 151,1091200,17.5,26.25,1750
5360,John Barr Reserve,1012300,21.93,32.9,1750
43799,Appleton Estate Signature Blend,1062300,15.0,22.5,1750
46109,Calypso Gold Rum,1062100,9.0,13.5,1750
903881,SOOH Phillips Root Beer Schnapps,1901200,9.27,13.91,1750
902291,SOOH Bartenders Bananas Over You,1901200,9.31,13.97,1750
5038,Glenlivet 12YR,1012300,43.47,65.21,1750
43040,Bacardi Gold PET,1062100,15.0,22.5,1750
26859,Templeton 4YR Rye,1011600,24.66,36.99,1750
904529,Tanqueray Rangpur,1901200,25.0,37.5,1750
902840,SOOH Hiram Walker Peppermint Schnapps 60prf,1901200,8.6,12.9,1750
40055,Deep Eddy Lemon,1700000,14.5,21.75,1750
903776,Don Q Cristal,1901200,10.84,16.26,1750
902115,Famous Grouse Scotch,1901200,20.05,30.08,1750
27037,George Dickel Rye,1011600,13.5,20.25,750
935961,SOOH Pearl Red Berry,1031000,7.0,10.5,750
4825,Dalmore 12YR,1012300,35.0,52.5,750
67556,Kamora Coffee Liqueur,1081100,6.47,9.71,750
67595,Patron XO Cafe,1081100,14.0,21.0,750
5362,John Barr Reserve,1012300,11.67,17.51,750
27171,Minor Case Straight Rye,1011600,20.0,30.0,750
18120,Evan Williams Vintage,1011300,15.49,23.24,750
5404,Laphroaig Select,1012300,27.0,40.5,750
45246,Paramount Gold Rum,1062100,4.0,6.0,750
22241,Woodford Reserve Straight Malt,1011300,22.49,33.74,750
33256,Seagrams Lime Twisted Gin,1041200,6.49,9.74,750
5105,Glenmorangie Quinta Ruban,1012300,29.99,44.99,750
5446,Laphroaig 10YR,1012300,29.5,44.25,750
42666,Mt Gay Eclipse Rum,1062100,10.98,16.47,750
86749,Ole Smoky Cherry Moonshine,1091300,12.5,18.75,750
5133,Glenmorangie 10YR,1012300,19.99,29.99,750
5067,Glenmorangie Signet,1012300,109.99,164.99,750
28134,Essence of Iowa Whiskey,1011700,19.25,28.88,750
5006,Glenfiddich 12YR Special Reserve,1012300,26.0,39.0,750
72816,Caffe Lolita Coffee Liqueur,1081100,5.0,7.5,750
43109,Bacardi Black,1062300,8.25,12.38,750
67578,Kahlua Salted Caramel,1081100,11.99,17.99,750
903385,SOOH Gran Centenario Reposado,1901200,28.08,42.12,750
903037,SOOH Agavero Liqueur,1901200,17.5,26.25,750
6316,Tomatin Single Malt,1012300,22.0,33.0,750
76414,Ole Smoky Moonshine Pickles,1091300,12.5,18.75,750
67586,Kapali Coffee Liqueur,1081100,5.72,8.58,750
87030,Kamiki Japanese Whisky,1092100,38.88,58.32,750
4084,Aberlour 12YR,1012300,27.48,41.22,750
902780,SOOH Hiram Walker Cherry Brandy,1901200,6.5,9.75,1000
904844,SOOH Cynar 33prf,1901200,14.5,21.75,1000
15180,WhistlePig 10YR,1011600,39.17,58.76,750
88095,Mi Campo Blanco,1092100,12.4,18.6,750
72945,Krupnik,1091100,16.65,24.98,750
904761,SOOH Burnetts Mango,1901200,4.5,6.75,750
964039,SOOH Aalborg Taffel Aquavit,1082100,11.0,16.5,750
26665,Tincup Rye Whiskey,1011600,13.75,20.63,750
26496,Burn the Boats Rye Whiskey,1011600,17.5,26.25,750
88533,Mi Campo Reposado,1092100,12.4,18.6,750
5596,Mcclelland Highland,1012300,15.74,23.61,750
42599,Leblon Cachaca,1092100,18.34,27.51,750
6206,Talisker 10YR,1012300,42.5,63.75,750
48715,Martell VSOP Red Barrel,1092100,20.99,31.49,750
42777,Ron Zacapa 23YR,1062300,22.5,33.75,750
941294,SOOH Burnetts Peach,1901200,4.5,6.75,750
4090,Ardbeg Corryvreckan,1012300,45.99,68.99,750
19235,Knob Creek Single Barrel Reserve,1011300,27.33,41.0,750
