item_number,item_description,category,state_bottle_cost,state_bottle_retail,bottle_volume_ml
89496,Margaritaville Gold Tequila,1022200,6.0,9.0,750
88371,Teremana Blanco Tequila,1022200,14.94,22.41,750
87589,El Jimador Silver,1022200,12.34,18.51,750
89242,Corralejo Reposado,1022200,16.0,24.0,750
87484,Don Julio Blanco,1022200,14.49,21.74,375
88188,Olmeca Altos Plata,1022200,20.49,30.74,1750
988547,Hornitos Plata,1022200,15.0,22.5,1000
989290,Kirkland Signature Tequila Anejo,1022200,15.54,23.31,1000
89164,Don Julio 1942,1022200,67.67,101.51,750
89121,Cazadores Reposado,1022200,14.0,21.0,750
88659,El Jimador Reposado,1022200,12.34,18.51,750
88540,Hornitos Lime Shot,1022200,13.5,20.25,750
87619,Espolon Blanco,1022200,14.0,21.0,750
88372,Teremana Reposado Tequila,1022200,16.43,24.65,750
87266,Casa Noble Crystal,1022200,20.0,30.0,750
89624,Patron Reposado,1022200,14.5,21.75,375
89535,Familia Camarena Reposado,1022200,13.5,20.25,1000
89242,Corralejo Reposado,1022200,15.0,22.5,750
88186,Olmeca Altos Plata,1022200,14.0,21.0,750
88018,Lunazul Blanco,1022200,11.0,16.5,750
89610,Olmeca Altos Reposado,1022200,14.0,21.0,750
89249,Corralejo Reposado,1022200,30.5,45.75,1750
87596,El Mayor Blanco,1022200,13.5,20.25,750
89029,Avion Anejo,1022200,27.48,41.22,750
88188,Olmeca Altos Plata,1022200,24.98,37.47,1750
87280,Casamigos Blanco,1022200,26.84,40.26,750
88741,Clase Azul Reposado,1022200,71.79,107.69,750
89533,Familia Camarena Reposado,1022200,12.5,18.75,750
87250,Cabo Wabo Blanco,1022200,19.0,28.5,750
88536,Sauza Blue Silver,1022200,12.0,18.0,750
87306,Cazadores Blanco,1022200,14.0,21.0,750
989289,Kirkland Signature Tequila Silver,1022200,11.47,17.21,1750
87150,Avion Silver,1022200,19.98,29.97,750
89249,Corralejo Reposado,1022200,30.0,45.0,1750
89646,Patron Anejo,1022200,31.0,46.5,750
89339,Herradura Reposado,1022200,25.94,38.91,750
89286,Espolon Reposado,1022200,14.0,21.0,750
88185,Olmeca Altos Plata,1022200,7.49,11.24,375
89268,El Jimador Reposado,1022200,20.79,31.19,1750
89621,Olmeca Altos Reposado,1022200,20.49,30.74,1750
89268,El Jimador Reposado,1022200,21.6,32.4,1750
89621,Olmeca Altos Reposado,1022200,24.98,37.47,1750
88980,Espolon Reposado,1022200,25.0,37.5,1750
89626,Patron Reposado,1022200,28.5,42.75,750
88841,Hornitos Black Barrel,1022200,15.74,23.61,750
87643,Familia Camarena Silver,1022200,12.5,18.75,750
89206,1800 Reposado,1022200,15.46,23.19,750
87596,El Mayor Blanco,1022200,12.5,18.75,750
89846,Tres Generaciones Anejo,1022200,20.99,31.49,750
988737,SOOH Torada White Tequila,1022200,6.64,9.96,1000
89329,Herradura Anjeo,1022200,29.55,44.33,750
89177,Casamigos Reposado,1022200,27.83,41.75,750
88827,Avion Reserva 44,1022200,49.97,74.96,750
89230,1800 Anejo,1022200,22.41,33.62,750
89200,Don Julio 70th Anniversary,1022200,33.99,50.99,750
64922,Dulce Vida Lime,1022200,11.0,16.5,750
87849,Herradura Sliver,1022200,25.0,37.5,750
88602,Solana Agave Blanco,1022200,12.48,18.72,750
64955,Dulce Vida Pineapple Jalapeno,1022200,11.0,16.5,750
88922,1800 Cristalino,1022200,29.76,44.64,750
64933,1800 Coconut,1022200,15.46,23.19,750
89274,El Jimador Anejo,1022200,14.37,21.56,750
89339,Herradura Reposado,1022200,27.0,40.5,750
87849,Herradura Sliver,1022200,25.95,38.93,750
87385,Corralejo Silver,1022200,15.0,22.5,750
87499,Dulce Vida Blanco,1022200,13.0,22.5,750
88363,Cincoro Reposado Tequila,1022200,50.0,75.0,750
88741,Clase Azul Reposado,1022200,66.66,99.99,750
89099,Cazadores Anejo,1022200,23.33,35.0,750
89269,El Tesoro Reposado,1022200,31.5,47.25,750
88367,Cincoro Blanco Tequila,1022200,40.0,60.0,750
89136,Cabo Wabo Anejo,1022200,25.0,37.5,750
100306,Patron Extra Anejo,1022200,46.99,70.49,750
89329,Herradura Anjeo,1022200,30.0,45.0,750
988513,SOOH Patron Extra Anejo 10 Anos,1022200,200.0,300.0,750
89233,Corralejo Anejo,1022200,20.0,30.0,750
89139,Cabo Wabo Reposado,1022200,21.5,32.25,750
89583,Milagro Reposado,1022200,16.5,24.75,750
89178,El Mayor Anejo,1022200,15.0,22.5,750
89182,El Mayor Reposado,1022200,13.5,20.25,750
89152,Don Julio Real,1022200,187.5,281.25,750
88833,Casamigos Anejo,1022200,31.0,46.5,750
89030,Avion Reposado,1022200,25.98,38.97,750
88536,Sauza Blue Silver DISCO,1022200,12.0,18.0,750
89177,Casamigos Reposado,1022200,27.84,41.76,750
89233,Corralejo Anejo,1022200,21.0,31.5,750
88361,Cincoro Anejo Tequila,1022200,65.0,97.5,750
89150,Cabrito Reposado,1022200,12.26,18.39,750
87625,El Tesoro Blanco,1022200,28.0,42.0,750
87406,Jose Cuervo Reserva De La Familia Platino,1022200,32.1,48.15,750
89519,Espolon Anejo,1022200,17.5,26.25,750
89468,Lunazul Reposado,1022200,11.0,16.5,750
64920,Dulce Vida Grapefruit,1022200,11.0,16.5,750
87499,Dulce Vida Blanco,1022200,13.0,19.5,750
89267,El Tesoro Anejo,1022200,34.0,51.0,750
89796,Sauza Conmemorativo,1022200,15.0,22.5,750
87623,Espolon Blanco,1022200,25.0,37.5,1750
89665,Hussongs Platinum Anejo,1022200,25.63,38.45,750
88522,Libelula Tequila,1022200,12.92,19.38,750
88120,Milagro Select Barrel Silver Tequila,1022200,27.5,41.25,750
64922,Dulce Vida Lime,1022200,12.5,18.75,750
89030,Avion Reposado,1022200,22.48,33.72,750
87499,Dulce Vida Blanco,1022200,15.0,22.5,750
64920,Dulce Vida Grapefruit,1022200,11.0,18.75,750
87385,Corralejo Silver,1022200,13.82,20.73,750
988652,Codigo 1530 Tequila Reposado,1022200,31.99,47.99,750
987500,SOOH Dulce Vida Organic Blanco Tequila,1022200,20.0,30.0,750
987500,SOOH Dulce Vida Blanco 100prf,1022200,20.0,30.0,750
988566,Tres Generaciones Plata,1022200,19.0,28.5,750
987279,Casa Dragones Blanco,1022200,37.0,55.5,750
994768,Tequila Don Ramon Añejo,1022200,21.0,31.5,750
88479,Jose Cuervo Reserva de la Familia Reposado,1022200,41.48,62.22,750
64955,Dulce Vida Pineapple Jalapeno,1022200,12.5,18.75,750
89532,Familia Camarena Reposado,1022200,5.0,7.5,375
88589,Don Nacho Extra Premium Anejo,1022200,23.67,35.51,750
89665,Hussongs Platinum Anejo,1022200,24.0,36.0,750
26824,Jack Daniels Old #7 Black Label Square,1011400,7.5,11.25,375
26820,Jack Daniels Old #7 Black Label Flat,1011400,7.5,11.25,375
26826,Jack Daniels Old #7 Black Label,1011400,15.57,23.36,750
26827,Jack Daniels Old #7 Black Label,1011400,18.89,28.34,1000
26821,Jack Daniels Old #7 Black Label Mini,1011400,9.06,13.59,50
86668,Jack Daniels Tennessee Honey Mini,1011400,9.06,13.59,50
26823,Jack Daniels Old #7 Black Label,1011400,4.23,6.35,200
86691,Jack Daniels Tennessee Fire Mini,1011400,9.06,13.59,50
86672,Jack Daniels Tennessee Honey,1011400,18.89,28.34,1000
86669,Jack Daniels Tennessee Honey,1011400,7.5,11.25,375
26828,Jack Daniels Old #7 Black Label,1011400,30.68,46.02,1750
86698,Jack Daniels Tennessee Fire,1011400,7.5,11.25,375
86692,Jack Daniels Tennessee Fire,1011400,15.57,23.36,750
26585,Gentleman Jack,1011400,8.5,12.75,375
86693,Jack Daniels Tennessee Fire,1011400,18.89,28.34,1000
26822,Jack Daniels Old #7 Black Label,1011400,2.0,3.0,100
74804,Jack Daniels Tennessee Apple Mini,1011400,9.06,13.59,50
86670,Jack Daniels Tennessee Honey,1011400,15.57,23.36,750
86673,Jack Daniels Tennessee Honey,1011400,30.68,46.02,1750
987018,Ole Smoky Peach Whiskey,1011400,10.0,15.0,750
74802,Jack Daniels Tennessee Apple,1011400,18.89,28.34,1000
927372,American Born Original Moonshine,1011400,11.5,17.25,750
26589,Gentleman Jack,1011400,35.24,52.86,1750
86987,Ole Smoky Salty Watermelon Tennessee Whiskey,1011400,10.0,15.0,750
74801,Jack Daniels Tennessee Apple,1011400,15.57,23.36,750
86544,OLE SMOKY TENEESSEE SALTY CARAMEL WHSKEY MINI,1011400,17.5,26.25,50
87043,Ole Smoky Peanut Butter Whiskey,1011400,10.0,15.0,750
74805,Jack Daniels Tennessee Apple,1011400,7.5,11.25,375
900367,SOOH Jack Daniels Single Barrel Barrel Proof,1011400,32.48,48.72,750
26906,Jack Daniels Single Barrel,1011400,27.59,41.39,750
26586,Gentleman Jack,1011400,20.01,30.02,750
86694,Jack Daniels Tennessee Fire,1011400,30.68,46.02,1750
26656,George Dickel #12,1011400,13.5,20.25,750
26707,Uncle Nearest 1884 Small Batch Whiskey,1011400,26.66,39.99,750
26606,George Dickel #8,1011400,10.0,15.0,750
26800,Jack Daniels 27 Gold,1011400,49.98,74.97,750
26966,Uncle Nearest 1856 Aged Whiskey,1011400,29.33,44.0,750
308,Jack Daniels 4YR Rye Single Barrel,1011400,27.49,41.24,750
987018,SOOH Ole Smoky Peach Whiskey,1011400,10.0,15.0,750
26722,Obtainium Tennessee Rye Whiskey,1011400,28.85,43.28,750
42079,UV Cake,1031200,7.5,11.25,1000
39770,UV Cake Mini,1031200,4.6,6.9,50
41691,UV Blue Raspberry Mini,1031200,4.6,6.9,50
41279,Burnetts Grape,1031200,4.5,6.75,750
41694,UV Blue Raspberry,1031200,7.5,11.25,1000
77741,Smirnoff Raspberry,1031200,9.25,13.88,1000
39423,New Amsterdam Pink Whitney,1031200,7.33,11.0,1000
39865,UV Blue Raspberry,1031200,3.45,5.18,375
40528,McCormick Peach Vodka,1031200,1.13,1.7,200
41691,UV Blue Raspberry Mini,1031200,4.4,6.6,50
40597,New Amsterdam Red Berry,1031200,1.99,2.99,200
40069,New Amsterdam Mango,1031200,1.99,2.99,200
39419,New Amsterdam Watermelon,1031200,3.5,5.25,375
77648,Smirnoff Citrus,1031200,9.25,13.88,1000
39917,New Amsterdam Apple,1031200,3.5,5.25,375
41927,Burnetts Fruit Punch,1031200,4.5,6.75,750
40593,New Amsterdam Peach,1031200,3.5,5.25,375
40592,New Amsterdam Peach,1031200,1.99,2.99,200
41681,UV Red Cherry,1031200,11.5,17.25,1750
940067,SOOH New Amsterdam Mango Mini,1031200,5.54,8.31,600
41078,Jeremiah Weed Sweet Tea Vodka,1031200,14.97,22.46,1750
40500,McCormick Apple Vodka,1031200,1.13,1.7,200
40191,New Amsterdam Pineapple,1031200,1.99,2.99,200
41604,UV Grape,1031200,7.0,10.5,750
39825,Western Son Blueberry,1031200,9.01,13.52,750
41077,Jeremiah Weed Sweet Tea Vodka,1031200,10.5,15.75,1000
41692,UV Blue Raspberry,1031200,11.5,17.25,1750
39492,New Amsterdam Pink Whitney,1031200,7.5,11.25,750
42009,UV Cake,1031200,11.5,17.25,1750
40192,New Amsterdam Pineapple,1031200,3.5,5.25,375
78078,Smirnoff Zero Sugar Infusion Watermelon & Mint Mini,1031200,7.47,11.21,50
39650,Western Son Lime Mini,1031200,4.4,6.6,50
36617,New Amsterdam Raspberry,1031200,3.5,5.25,375
39706,Western Son Watermelon Mini,1031200,4.4,6.6,50
41705,UV Red Cherry,1031200,7.5,11.25,1000
40329,Deep Eddy Ruby Red Grapefruit,1031200,14.49,21.74,1750
33937,Pearl Cucumber,1031200,7.5,11.25,1000
40598,New Amsterdam Red Berry,1031200,3.5,5.25,375
39770,UV Cake Mini,1031200,4.4,6.6,50
40327,Deep Eddy Ruby Red Grapefruit,1031200,8.5,12.75,750
39449,Western Son Raspberry Vodka,1031200,9.01,13.52,750
40053,Deep Eddy Lemon,1031200,8.5,12.75,750
77842,Smirnoff Strawberry,1031200,8.25,12.38,750
39422,New Amsterdam Pink Whitney Mini,1031200,5.54,8.31,50
40189,New Amsterdam Pineapple Mini,1031200,5.54,8.31,50
78070,Smirnoff Zero Sugar Infusion Cucumber & Lime Mini,1031200,7.47,11.21,50
41703,UV Red Cherry Mini,1031200,4.6,6.9,50
73851,Firefly Lemonade Mini,1031200,6.0,9.0,50
41707,Phillips Lime Vodka,1031200,5.78,8.67,1000
40331,Deep Eddy Sweet Tea,1031200,8.5,12.75,750
77843,Smirnoff Strawberry,1031200,9.25,13.88,1000
39919,New Amsterdam Apple,1031200,14.0,21.0,1750
39680,Deep Eddy Ruby Red Grapefruit Mini,1031200,4.21,6.32,50
39500,Western Son Raspberry Vodka Mini,1031200,4.4,6.6,50
35699,Pearl Cucumber,1031200,7.0,10.5,750
40590,New Amsterdam Peach Mini,1031200,5.54,8.31,50
40315,New Amsterdam Red Berry,1031200,14.0,21.0,1750
39460,Seagrams Lime Vodka Mini,1031200,4.6,6.9,50
41076,Jeremiah Weed Sweet Tea Vodka,1031200,10.06,15.09,750
39705,Western Son Blueberry Mini,1031200,4.4,6.6,50
41326,Burnetts Citrus,1031200,4.5,6.75,750
36618,New Amsterdam Raspberry,1031200,7.5,11.25,750
36620,New Amsterdam Raspberry,1031200,14.0,21.0,1750
41299,Burnetts Cherry,1031200,4.5,6.75,750
78071,Smirnoff Zero Sugar Infusion Cucumber & Lime,1031200,8.25,12.38,750
41500,Hawkeye Blue Raspberry Vodka,1031200,5.01,7.52,1000
78034,Smirnoff Raspberry,1031200,4.75,7.13,375
41550,Burnetts Peach Mini,1031200,4.0,6.0,50
77699,Smirnoff Orange,1031200,9.25,13.88,1000
40591,New Amsterdam Peach,1031200,1.0,1.5,100
40070,New Amsterdam Mango,1031200,3.5,5.25,375
39704,Western Son Prickly Pear Mini,1031200,4.4,6.6,50
40594,New Amsterdam Peach,1031200,7.5,11.25,750
77848,Smirnoff Vanilla,1031200,9.25,13.88,1000
39420,New Amsterdam Watermelon,1031200,7.5,11.25,750
41692,UV Blue Raspberry,1031200,10.99,16.49,1750
39659,Seagrams Juicy Watermelon Vodka,1031200,5.38,8.07,750
41693,UV Blue Raspberry,1031200,7.0,10.5,750
77740,Smirnoff Raspberry,1031200,8.25,12.38,750
41703,UV Red Cherry Mini,1031200,4.4,6.6,50
39725,New Amsterdam Lemon,1031200,7.5,11.25,750
78022,Smirnoff Kissed Caramel,1031200,4.75,7.13,375
78072,Smirnoff Zero Sugar Infusion Strawberry & Rose Mini,1031200,7.47,11.21,50
40193,New Amsterdam Pineapple,1031200,7.5,11.25,750
78033,Smirnoff Green Apple,1031200,4.75,7.13,375
77955,"Smirnoff Red, White & Berry Mini",1031200,7.47,11.21,50
40047,New Amsterdam Grapefruit Mini,1031200,5.54,8.31,50
40071,New Amsterdam Mango,1031200,7.5,11.25,750
77683,Smirnoff Kissed Caramel,1031200,8.25,12.38,750
39922,Deep Eddy Peach,1031200,8.5,12.75,750
40190,New Amsterdam Pineapple,1031200,1.0,1.5,100
78079,Smirnoff Zero Sugar Infusion Watermelon & Mint,1031200,8.25,12.38,750
41316,Burnetts Raspberry,1031200,4.5,6.75,750
77858,Smirnoff Whipped Cream,1031200,8.25,12.38,750
39918,New Amsterdam Apple,1031200,7.5,11.25,750
41698,UV Ivory Vanilla,1031200,7.0,10.5,750
39916,New Amsterdam Apple,1031200,1.99,2.99,200
77956,"Smirnoff Red, White & Berry",1031200,8.25,12.38,750
41688,UV Blue Raspberry PET,1031200,7.0,10.5,750
78073,Smirnoff Zero Sugar Infusion Strawberry & Rose,1031200,8.25,12.38,750
39839,Western Son Prickly Pear,1031200,9.01,13.52,750
77658,Smirnoff Cranberry,1031200,8.25,12.38,750
39680,Deep Eddy Ruby Red Grapefruit Mini,1031200,5.05,7.58,50
77674,Smirnoff Green Apple,1031200,8.25,12.38,750
41670,Burnetts Blue Raspberry,1031200,4.5,6.75,750
40599,New Amsterdam Red Berry,1031200,7.5,11.25,750
34702,Pearl Pomegranate,1031200,7.0,10.5,750
39827,Western Son Cucumber,1031200,9.01,13.52,750
77847,Smirnoff Vanilla,1031200,8.25,12.38,750
40363,Burnetts Tropical Punch,1031200,4.5,6.75,750
41989,UV Cake,1031200,7.0,10.5,750
77889,Smirnoff Ruby Red Grapefruit,1031200,8.25,12.38,750
77994,"Smirnoff Red, White & Berry",1031200,14.75,22.13,1750
78029,Smirnoff Watermelon,1031200,4.75,7.13,375
39408,Blue Raspberry Vodka,1031200,6.0,9.0,1000
41840,Burnetts Limeade,1031200,4.5,6.75,750
77709,Smirnoff Peach,1031200,8.25,12.38,750
40048,New Amsterdam Grapefruit,1031200,7.5,11.25,750
39553,Deep Eddy Cranberry Mini,1031200,5.05,7.58,50
39752,Caliber Citrus Vodka,1031200,3.31,4.97,750
40186,New Amsterdam Orange,1031200,7.5,11.25,750
41604,UV Grape,1031200,6.5,9.75,750
40329,Deep Eddy Ruby Red Grapefruit,1031200,14.5,21.75,1750
41500,Hawkeye Blue Raspberry,1031200,5.01,7.52,1000
39648,Western Son Lime,1031200,9.01,13.52,750
40313,New Amsterdam Peach,1031200,14.0,21.0,1750
78023,Smirnoff Orange,1031200,4.75,7.13,375
36606,Deep Eddy Orange,1031200,8.5,12.75,750
41413,Burnetts Pineapple,1031200,4.5,6.75,750
41681,UV Red Cherry,1031200,10.99,16.49,1750
39635,Western Son Cucumber Mini,1031200,4.4,6.6,50
77852,Smirnoff Watermelon,1031200,8.25,12.38,750
77668,Smirnoff Grape,1031200,8.25,12.38,750
41693,UV Blue Raspberry,1031200,6.5,9.75,750
39951,New Amsterdam Grapefruit,1031200,1.99,2.99,200
77632,Smirnoff Blueberry,1031200,8.25,12.38,750
39665,Western Son Peach Vodka,1031200,9.01,13.52,750
41625,UV Grape,1031200,11.5,17.25,1750
39594,Seagrams Tropical Pineapple Vodka Mini,1031200,4.6,6.9,50
41688,UV Blue Raspberry PET,1031200,6.5,9.75,750
76669,Pearl Vanilla Bean,1031200,7.0,10.5,750
41320,Burnetts Watermelon,1031200,4.5,6.75,750
36749,Skyy Infusions Watermelon,1031200,7.5,11.25,750
39753,Caliber Citrus Vodka,1031200,6.92,10.38,1750
42009,UV Cake,1031200,10.99,16.49,1750
41625,UV Grape,1031200,10.64,15.96,1750
39421,New Amsterdam Watermelon,1031200,14.0,21.0,1750
36614,Pearl Cucumber,1031200,10.0,15.0,1750
77880,Smirnoff Sours Watermelon,1031200,8.25,12.38,750
41943,360 Georgia Peach,1031200,7.0,10.5,750
41696,UV Green Apple,1031200,6.5,9.75,750
41704,UV Red Cherry,1031200,6.5,9.75,750
40656,360 Huckleberry,1031200,7.0,10.5,750
41019,360 Double Chocolate,1031200,7.0,10.5,750
39619,Western Son Watermelon Vodka,1031200,9.01,13.52,750
77703,Smirnoff Passion Fruit,1031200,8.25,12.38,750
41360,UV Pink Lemonade,1031200,7.0,10.5,750
41704,UV Red Cherry,1031200,7.0,10.5,750
77637,Smirnoff Cherry,1031200,8.25,12.38,750
77647,Smirnoff Citrus,1031200,8.25,12.38,750
41696,UV Green Apple,1031200,7.0,10.5,750
40152,Deep Eddy Cranberry,1031200,8.5,12.75,750
40244,Prairie Organic Cucumber,1031200,11.0,16.5,750
77900,Smirnoff Sours Berry Lemon,1031200,8.25,12.38,750
77698,Smirnoff Orange,1031200,8.25,12.38,750
77688,Smirnoff Lime,1031200,8.25,12.38,750
77378,Smirnoff Sorbet Light Raspberry Pomegranate,1031200,8.25,12.38,750
77714,Smirnoff Pineapple,1031200,8.25,12.38,750
940831,SOOH Skyy Infusions Blood Orange,1031200,7.5,11.25,750
40126,Burnetts Mango Pineapple,1031200,4.5,6.75,750
77875,Smirnoff Sours Green Apple,1031200,8.25,12.38,750
40465,Skyy Infusions Wild Strawberry,1031200,7.5,11.25,750
41360,UV Pink Lemonade,1031200,6.5,9.75,750
39476,Seagrams Lime Vodka,1031200,5.38,8.07,750
40821,Skyy Infusions Pineapple,1031200,7.5,11.25,750
41209,Firefly Sweet Tea,1031200,9.34,14.01,750
73854,Fire in the Hole Cinnamon Vodka,1031200,10.0,15.0,750
36034,Pearl Peach,1031200,7.0,10.5,750
41989,UV Cake,1031200,6.5,9.75,750
35179,Pearl Blueberry,1031200,7.0,10.5,750
41161,Rain Cucumber,1031200,7.5,11.25,750
39699,North Forty Peach Vodka,1031200,13.0,19.5,750
39577,North Forty Raspberry Vodka,1031200,13.0,19.5,750
40289,New Amsterdam Coconut,1031200,7.5,11.25,750
40359,Burnetts Strawberry Banana,1031200,4.5,6.75,750
73817,Firefly Lemonade,1031200,9.34,14.01,750
35527,Bakon,1031200,15.0,22.5,750
76876,Plume & Petal Peach Wave,1031200,10.0,15.0,750
39952,New Amsterdam Grapefruit,1031200,3.5,5.25,375
41698,UV Ivory Vanilla,1031200,6.5,9.75,750
40073,New Amsterdam Mango,1031200,14.0,21.0,1750
40182,New Amsterdam Orange Mini,1031200,5.54,8.31,50
73848,Firefly Ruby Red Grapefruit Mini,1031200,6.0,9.0,50
940067,SOOH New Amsterdam Mango Mini,1031200,5.54,8.31,50
39559,Deep Eddy Peach Mini,1031200,5.05,7.58,50
40244,Prairie Organic Cucumber,1031200,10.0,15.0,750
40804,Skyy Infusions Citrus,1031200,7.5,11.25,750
39690,Cucumber Vodka,1031200,11.0,16.5,750
76872,Plume & Petal Cucumber Splash,1031200,10.0,15.0,750
39443,Lemon Vodka,1031200,11.0,16.5,750
76874,Plume & Petal Lemon Drift,1031200,10.0,15.0,750
977663,SOOH Smirnoff Fluffed Marshmallow,1031200,8.25,12.38,750
39694,Prairie Organic Cucumber,1031200,11.0,16.5,750
41512,Seagrams Apple Vodka,1031200,5.38,8.07,750
39611,North Forty Vanilla Vodka,1031200,16.0,24.0,750
36574,Svedka Blue Raspberry Mini,1032200,6.21,9.32,50
36808,Stolichnaya Cucumber,1032200,9.99,14.99,750
34032,Absolut Citron,1032200,19.99,29.99,1750
34036,Absolut Pears,1032200,9.99,14.99,750
75183,Ketel One Botanical Peach & Orange Blossom,1032200,12.5,18.75,750
64716,Ciroc Peach,1032200,16.49,24.74,750
36576,Svedka Blue Raspberry,1032200,8.75,13.13,750
33466,Absolut Lime Mini,1032200,5.88,8.82,50
64722,Ciroc Peach,1032200,5.0,7.5,200
64511,Ciroc Apple,1032200,9.25,13.88,375
64759,Ciroc Red Berry,1032200,5.0,7.5,200
64913,Ciroc Mango,1032200,9.25,13.88,375
64571,Ciroc Pineapple,1032200,5.0,7.5,200
64513,Ciroc Apple,1032200,22.75,34.13,1000
933935,Pearl Citrus,1032200,8.67,13.01,1000
64572,Ciroc Pineapple,1032200,9.25,13.88,375
64510,Ciroc Apple,1032200,5.0,7.5,200
34995,Three Olives Grape,1032200,9.96,14.94,750
34871,Stolichnaya Razberi,1032200,15.97,23.96,1000
75181,Ketel One Botanical Grapefruit & Rose,1032200,12.5,18.75,750
34737,Stolichnaya Ohranj,1032200,15.97,23.96,1000
34015,Absolut Apeach,1032200,14.99,22.49,1000
64762,Ciroc Red Berry,1032200,9.25,13.88,375
34839,Svedka Citron,1032200,8.75,13.13,750
64512,Ciroc Apple,1032200,16.49,24.74,750
34014,Absolut Apeach,1032200,9.99,14.99,750
33658,Svedka Mango Pineapple,1032200,8.75,13.13,750
34972,Three Olives Cherry,1032200,9.96,14.94,750
35628,Pinnacle Whipped,1032200,10.0,15.0,1750
33467,Absolut Lime,1032200,9.99,14.99,750
34078,Absolut Vanilia,1032200,14.99,22.49,1000
34117,Absolut Mandrin,1032200,14.99,22.49,1000
34255,Effen Raspberry,1032200,12.5,18.75,750
64755,Ciroc Red Berry,1032200,16.49,24.74,750
34030,Absolut Citron,1032200,9.99,14.99,750
64912,Ciroc Mango,1032200,5.0,7.5,200
64711,Ciroc Peach,1032200,9.25,13.88,375
33660,Svedka Mango Pineapple,1032200,13.5,20.25,1750
35354,Absolut Mango,1032200,9.99,14.99,750
37043,Stoli Lime Mini,1032200,5.88,8.82,50
75165,Ketel One Botanical Cucumber & Mint,1032200,12.5,18.75,750
34029,Absolut Citron,1032200,12.49,18.74,1000
34078,Absolut Vanilia,1032200,12.49,18.74,1000
64011,Absolut Juice Edition Strawberry,1032200,9.99,14.99,750
33665,Svedka Strawberry Lemonade,1032200,13.5,20.25,1750
33663,Svedka Strawberry Lemonade,1032200,8.75,13.13,750
35964,Three Olives Loopy,1032200,9.96,14.94,750
34870,Stolichnaya Razberi,1032200,9.99,14.99,750
34029,Absolut Citron,1032200,14.99,22.49,1000
34052,Absolut Raspberri,1032200,9.99,14.99,750
34026,Absolut Peppar,1032200,9.99,14.99,750
34076,Absolut Vanilia,1032200,9.99,14.99,750
36468,Effen Blood Orange,1032200,12.5,18.75,750
35626,Pinnacle Whipped,1032200,6.5,9.75,750
34117,Absolut Mandrin,1032200,12.49,18.74,1000
34051,Absolut Raspberri,1032200,14.99,22.49,1000
67357,Svedka Pure Infusions Strawberry Guava Vodka,1032200,8.75,13.13,750
64715,Ciroc Peach,1032200,22.74,34.11,1000
34881,Stolichnaya Vanil,1032200,15.97,23.96,1000
64914,Ciroc Mango,1032200,16.49,24.74,750
67350,Svedka Pure Infusions Dragonfruit Melon Vodka,1032200,8.75,13.13,750
34786,Stolichnaya Blueberi,1032200,9.99,14.99,750
34051,Absolut Raspberri,1032200,12.49,18.74,1000
34116,Absolut Mandrin,1032200,9.99,14.99,750
36578,Svedka Blue Raspberry,1032200,13.5,20.25,1750
34787,Stolichnaya Blueberi,1032200,15.97,23.96,1000
34015,Absolut Apeach,1032200,12.49,18.74,1000
64752,Ciroc Red Berry,1032200,22.75,34.13,1000
34877,Stoli Strasberi,1032200,15.97,23.96,1000
37010,Svedka Rose Mini,1032200,8.56,12.84,50
34395,Effen Cucumber,1032200,12.5,18.75,750
37389,E.T.51 Espresso Flavored Vodka,1032200,9.7,14.55,375
34189,Effen Black Cherry,1032200,12.5,18.75,750
64009,Absolut Juice Edition Apple,1032200,9.99,14.99,750
64439,Ciroc Black Raspberry,1032200,9.25,13.88,375
75183,Ketel One Botanical Peach & Orange Blossom,1032200,11.33,17.0,750
35628,Pinnacle Whipped,1032200,12.59,18.89,1750
37044,Stoli Lime,1032200,9.99,14.99,750
34449,Ketel One Citroen,1032200,12.5,18.75,750
35453,Svedka Cherry,1032200,8.75,13.13,750
34815,Svedka Vanilla,1032200,8.75,13.13,750
36435,Svedka Cucumber Lime,1032200,8.75,13.13,750
36769,Absolut Grapefruit,1032200,9.99,14.99,750
37012,Svedka Rose,1032200,8.75,13.13,750
75165,Ketel One Botanical Cucumber & Mint,1032200,11.33,17.0,750
34959,Three Olives Raspberry,1032200,9.96,14.94,750
34812,Svedka Raspberry,1032200,8.75,13.13,750
35626,Pinnacle Whipped,1032200,7.35,11.03,750
64573,Ciroc Pineapple,1032200,16.49,24.74,750
34886,Three Olives Berry,1032200,9.96,14.94,750
34823,Svedka Clementine,1032200,8.75,13.13,750
35934,Grey Goose Cherry Noir,1032200,18.49,27.74,750
34605,Grey Goose La Poire,1032200,18.49,27.74,750
75181,Ketel One Botanical Grapefruit & Rose,1032200,11.33,17.0,750
34092,Belvedere Pink Grapefruit,1032200,17.15,25.73,750
34267,Grey Goose Le Citron,1032200,18.49,27.74,750
35022,Van Gogh Double Expresso,1032200,12.0,18.0,750
36473,Effen Green Apple,1032200,12.5,18.75,750
33469,Absolut Lime,1032200,19.99,29.99,1750
35117,Van Gogh Double Expresso Mini,1032200,7.2,10.8,50
67353,SVEDKA Pure Infusions Ginger Lime Vodka,1032200,8.75,13.13,750
34436,Grey Goose L'Orange,1032200,18.49,27.74,750
35039,Three Olives Pomegranate,1032200,9.96,14.94,750
36531,Figenza Mediterranean Fig Vodka,1032200,22.5,33.75,750
