store_number,store_name,store_location,address,city
4492,Casey's General Store #2773 / Cedar Rapids,POINT (-91.715911 41.94236600000001),3625 Edgewood Rd SW,Cedar Rapids
5973,Casey's General Store #1908 / Indianola,POINT (-93.558286 41.355511),507 S. Jefferson Way,Indianola
4836,Kum & Go #52 / Iowa City,POINT (-91.537252 41.657904),25 W Burlington St,Iowa City
5573,Casey's General Store #2768 / Cedar Rapids,POINT (-91.657607 41.985054),1201 1st Ave SE,Cedar Rapids
5281,Yesway Store # 10017/ Fort Dodge,POINT (-94.168007 42.507885),115 22nd St N,Fort Dodge
5489,Casey's General Store #1550 / Winfield,POINT (-91.43791 41.129927),201 N Locust,Winfield
4854,Casey's General Store #3029 / Armstrong,,"307, S 4th Ave",Armstrong
4849,C Fresh Market,POINT (-93.627851 41.600826),801 University Ave,Des Moines
5420,Casey's General Store # 2212/ Cedar Rapids,POINT (-91.656312 41.937617),130 41st Ave. Dr. SW,Cedar Rapids
5367,Casey's General Store # 2618/ Fredricksburg,POINT (-92.202089 42.965093),215 W Main St.,Fredericksburg
4265,Kwik Stop 3 / Waterloo,POINT (-92.336965 42.489106),1104 Washington St,Waterloo
4551,Casey's General Store #2845 / Urbana,,201 Sunset St,Urbana
5984,Casey's General Store #3214 / Oskaloosa,POINT (-92.648951 41.296226),413 A Ave W,Oskaloosa
4499,Casey's General Store #1316 / Milford,POINT (-95.149937 43.320094),510 Okoboji Ave,Milford
4897,Gasland #102 / Burlington,POINT (-91.121931 40.819885),1703 Mt Pleasant St,Burlington
4546,Casey's General Store #2303 / Glidden,POINT (-94.728981 42.063817),705 Idaho St,Glidden
5898,Urban Fuel LLC / North Liberty,POINT (-91.60715 41.734468),1 Hawkeye Dr,North Liberty
5605,Casey's General Store #1416 / New Hampton,POINT (-92.31783500000002 43.065235),615 N Linn Ave,New Hampton
5300,Yesway Store # 10013/ Ottumwa,POINT (-92.418553 41.009435),534 Church St,Ottumwa
6045,Kum & Go #3156 / Clive,POINT (-93.833455 41.614719),15590 Hickman Rd,Clive
